SAISON;Discipline;Rang National;Rang comité régional;Statut équipe;Sexe équipe;Arme équipe;Catégorie de classement;Département;Nom Club/Cie Ville;Score 1;Score 2;Score 3;Score Equipe
2025;Tir à 18m;214;13;;H;CO;Arc à Poulies Homme 2025;53;UNION SPORTIVE GENESTOISE - LE GENEST ST ISLE;570;559;551;1680
2025;Tir à 18m;228;14;;H;CO;Arc à Poulies Homme 2025;44;CIE D ARC DE GUERANDE - GUERANDE;569;562;546;1677
2025;Tir à 18m;251;15;;H;CO;Arc à Poulies Homme 2025;49;S G T A - TIR A L'ARC - ANGERS;580;558;536;1674
2025;Tir à 18m;288;16;;H;CO;Arc à Poulies Homme 2025;85;ARCHERS DE GROSBREUIL - GROSBREUIL;570;557;541;1668
2025;Tir à 18m;318;17;;H;CO;Arc à Poulies Homme 2025;44;LES ARCHERS MONTOIRINS - MONTOIR DE BRETAGNE;556;555;552;1663
2025;Tir à 18m;335;18;;H;CO;Arc à Poulies Homme 2025;72;CIE ARCHERS DU BELINOIS - LAIGNÉ SAINT GERVAIS;566;549;545;1660
2025;Tir à 18m;366;19;;H;CO;Arc à Poulies Homme 2025;44;CIE LES FLECHES DONGEOISES - DONGES;583;554;518;1655
2025;Tir à 18m;377;20;;H;CO;Arc à Poulies Homme 2025;85;LES ARCHERS DE LA DIGUE - MONTAIGU;563;561;529;1653
2025;Tir à 18m;404;21;;H;CO;Arc à Poulies Homme 2025;49;LA FLECHE AU COEUR DES MAUGES - BEAUPREAU;584;558;507;1649
2025;Tir à 18m;415;22;;H;CO;Arc à Poulies Homme 2025;72;ARC DU MAINE (LE MANS) - LE MANS MAINE;562;547;538;1647
2025;Tir à 18m;424;23;;H;CO;Arc à Poulies Homme 2025;53;LES ARCHERS DE L'US CHANGE - CHANGE;562;542;540;1644
2025;Tir à 18m;447;24;;H;CO;Arc à Poulies Homme 2025;85;ARCHERS DE ST GILLES CROIX VIE - ST GILLES CROIX DE VIE;549;549;544;1642
2025;Tir à 18m;462;25;;H;CO;Arc à Poulies Homme 2025;72;VSF TIR A L'ARC - LA FERTE BERNARD;557;557;524;1638
2025;Tir à 18m;492;26;;H;CO;Arc à Poulies Homme 2025;53;CIE GORONNAISE TIR A L'ARC - GORRON;554;544;535;1633
2025;Tir à 18m;509;27;;H;CO;Arc à Poulies Homme 2025;49;ARCHERS DU VAL D'AUTHION - MAZE;552;547;531;1630
2025;Tir à 18m;551;28;;H;CO;Arc à Poulies Homme 2025;44;LES ARCHERS NAZAIRIENS - ST NAZAIRE;556;535;529;1620
2025;Tir à 18m;606;29;;H;CO;Arc à Poulies Homme 2025;44;ARCHERS DE LA MEE - CHATEAUBRIANT;555;531;524;1610
2025;Tir à 18m;657;30;;H;CO;Arc à Poulies Homme 2025;85;CLUB DES ARCHERS DE CHANTONNAY - CHANTONNAY;578;517;499;1594
2025;Tir à 18m;776;31;;H;CO;Arc à Poulies Homme 2025;44;B.G.A.C. - BASSE GOULAINE;560;498;486;1544
2025;Tir à 18m;876;32;;H;CO;Arc à Poulies Homme 2025;85;L'ARCHER CLUB D'AIZENAY - AIZENAY;529;517;410;1456
2025;Tir à 18m;912;33;;H;CO;Arc à Poulies Homme 2025;49;C.O.AJAX DE DAUMERAY - DAUMERAY;557;464;362;1383
2025;Tir à 18m;919;34;;H;CO;Arc à Poulies Homme 2025;44;ARC NATURE VALLETAIS - VALLET;575;570;219;1364
2025;Tir à 18m;52;1;;F;CO;Arc à Poulies Femme 2025;44;ARCHERS DE L'ERDRE - CARQUEFOU;566;559;550;1675
2025;Tir à 18m;92;2;;F;CO;Arc à Poulies Femme 2025;85;LES GARNA'ARCHERS - LA GARNACHE;558;554;543;1655
2025;Tir à 18m;249;3;;F;CO;Arc à Poulies Femme 2025;44;LES ARCHERS PORNICAIS - PORNIC;542;527;513;1582
2025;Tir à 18m;308;4;;F;CO;Arc à Poulies Femme 2025;49;TIR A L ARC CHOLETAIS - CHOLET TAC;560;512;465;1537
2025;Tir à 18m;380;5;;F;CO;Arc à Poulies Femme 2025;44;ARCHERS THOUAREENS - THOUARE SUR LOIRE;560;497;393;1450
